@relation weather_data
@attribute 'temperature' numeric
@attribute 'humidity' numeric
@attribute 'precipitation' numeric
@attribute 'pressure' numeric
@attribute 'solar_radiation' numeric
@data
25.3, 70, 0, 1010, 250
20.5, 80, 2, 1005, 150
15.2, 65, 10, 1003, 50
28.6, 75, 0, 1012, 300
22.1, 85, 5, 1007, 500
40, 90, 20, 1020, 450
17.8, 60, 15, 1002, 20
31, 72, 0, 1015, 400
23.7, 79, 3, 1008, 120
18.9, 63, 12, 1000, 10
31.5, 68, 0, 1017, 400
21.4, 82, 7, 1006, 80
16.3, 58, 20, 1001, 5
25.3, 70, 0, 1010, 250
20.5, 80, 2, 1005, 150
15.2, 65, 10, 1003, 50
28.6, 75, 0, 1012, 300
22.1, 85, 5, 1007, 500
40, 90, 20, 1020, 450
17.8, 60, 15, 1002, 20
31, 72, 0, 1015, 400
23.7, 79, 3, 1008, 120
18.9, 63, 12, 1000, 10
63.5, 68, 0, 1017, 400
21.4, 82, 7, 1006, 80
16.3, 58, 20, 1001, 5
25.3, 70, 0, 1010, 250
20.5, 80, 2, 1005, 150
15.2, 65, 10, 1003, 50
63.2, 75, 0, 1012, 300
22.1, 85, 5, 1007, 500
40, 90, 20, 1020, 450
17.8, 60, 15, 1002, 20
63.1, 72, 0, 1015, 400
23.7, 79, 3, 1008, 120
18.9, 63, 12, 1000, 10
65.3, 68, 0, 1017, 400
21.4, 82, 7, 1006, 80
16.3, 58, 20, 1001, 5
25.3, 70, 0, 1010, 250
20.5, 80, 2, 1005, 150
15.2, 65, 10, 1003, 50
28.6, 75, 0, 1012, 300
22.1, 85, 5, 1007, 500
40, 90, 20, 1020, 450
17.8, 60, 15, 1002, 20
31, 72, 0, 1015, 400
23.7, 79, 3, 1008, 120
18.9, 63, 12, 1000, 10
31.5, 68, 0, 1017, 400
21.4, 82, 7, 1006, 80
16.3, 58, 20, 1001, 5
25.3, 70, 0, 1010, 250
20.5, 80, 2, 1005, 150
15.2, 65, 10, 1003, 50
28.6, 75, 0, 1012, 300
22.1, 85, 5, 1007, 500
40, 90, 20, 1020, 450
17.8, 60, 15, 1002, 20
31, 72, 0, 1015, 400
23.7, 79, 3, 1008, 120
18.9, 63, 12, 1000, 10
31.5, 68, 0, 1017, 400
21.4, 82, 7, 1006, 80
16.3, 58, 20, 1001, 5
